Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Government,United States of America,Paseo,274.0,10,350,95900,92064.0,71240,20824.0,2014-12-01
Enterprise,Mexico,Velo,1138.0,10,125,142250,136560.0,136560,0.0,2014-12-01
Channel Partners,United States of America,Velo,1465.0,120,12,17580,16876.8,4395,12481.8,2014-03-01
Government,Canada,Velo,2646.0,120,20,52920,50803.2,26460,24343.199999999997,2013-09-01
Government,France,VTT,2177.0,120,350,761950,731472.0,566020,165452.0,2014-10-01
Channel Partners,France,VTT,866.0,250,12,10392,9976.32,2598,7378.32,2014-05-01
Government,United States of America,VTT,349.0,250,350,122150,117264.0,90740,26524.0,2013-09-01
Government,France,VTT,2177.0,250,350,761950,731472.0,566020,165452.0,2014-10-01
Midmarket,Mexico,Amarilla,1514.0,250,15,22710,21801.6,15140,6661.5999999999985,2013-10-01
Government,Mexico,Amarilla,1865.0,260,350,652750,626640.0,484900,141740.0,2014-02-01
Enterprise,Mexico,Amarilla,1074.0,260,125,134250,128880.0,128880,0.0,2014-04-01
Government,Germany,Amarilla,1907.0,260,350,667450,640752.0,495820,144932.0,2014-09-01
Midmarket,United States of America,Amarilla,671.0,260,15,10065,9662.4,6710,2952.3999999999996,2013-10-01
Government,Canada,Montana,1778.0,260,350,622300,597408.0,462280,135128.0,2013-12-01
Government,Germany,Paseo,1159.0,5,7,8113,7707.35,5795,1912.3500000000004,2013-10-01
Government,Germany,Paseo,1372.0,10,7,9604,9123.8,6860,2263.7999999999993,2014-01-01
Government,Canada,Paseo,2349.0,10,7,16443,15620.85,11745,3875.8500000000004,2013-09-01
Government,Mexico,Paseo,2689.0,10,7,18823,17881.85,13445,4436.8499999999985,2014-10-01
Channel Partners,Canada,Velo,2431.0,10,12,29172,27713.4,7293,20420.4,2014-12-01
Channel Partners,Canada,VTT,2431.0,120,12,29172,27713.4,7293,20420.4,2014-12-01
Government,Mexico,Amarilla,2689.0,250,7,18823,17881.85,13445,4436.8499999999985,2014-10-01
Government,Mexico,Amarilla,1683.0,260,7,11781,11191.95,8415,2776.9500000000007,2014-07-01
Channel Partners,Mexico,Amarilla,1123.0,260,12,13476,12802.2,3369,9433.2,2014-08-01
Government,Germany,Carretera,1159.0,260,7,8113,7707.35,5795,1912.3500000000004,2013-10-01
Channel Partners,France,Carretera,1865.0,3,12,22380,21261.0,5595,15666.0,2014-02-01
Channel Partners,Germany,Carretera,1116.0,3,12,13392,12722.4,3348,9374.4,2014-02-01
Government,France,Carretera,1563.0,3,20,31260,29697.0,15630,14067.0,2014-05-01
Small Business,United States of America,Carretera,991.0,3,300,297300,282435.0,247750,34685.0,2014-06-01
Government,Germany,Carretera,1016.0,3,7,7112,6756.4,5080,1676.3999999999996,2013-11-01
Midmarket,Mexico,Carretera,2791.0,3,15,41865,39771.75,27910,11861.75,2014-11-01
Government,United States of America,Carretera,570.0,3,7,3990,3790.5,2850,940.5,2014-12-01
Government,France,Montana,2487.0,3,7,17409,16538.55,12435,4103.549999999999,2014-12-01
Government,France,Montana,1384.5,5,350,484575,460346.25,359970,100376.25,2014-01-01
Enterprise,United States of America,Montana,3627.0,5,125,453375,430706.25,435240,-4533.75,2014-07-01
Government,Mexico,Montana,720.0,5,350,252000,239400.0,187200,52200.0,2013-09-01
Channel Partners,Germany,Montana,2342.0,5,12,28104,26698.8,7026,19672.8,2014-11-01
Small Business,Mexico,Paseo,1100.0,5,300,330000,313500.0,275000,38500.0,2013-12-01
Government,France,Paseo,1303.0,10,20,26060,24757.0,13030,11727.0,2014-02-01
Enterprise,United States of America,Paseo,2992.0,10,125,374000,355300.0,359040,-3740.0,2014-03-01
Enterprise,France,Paseo,2385.0,10,125,298125,283218.75,286200,-2981.25,2014-03-01
Small Business,Mexico,Paseo,1607.0,10,300,482100,457995.0,401750,56245.0,2014-04-01
