Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Government,Mexico,Amarilla,1679.0,260,350,587650,552391.0,436540.0,115851.0,2014-09-01
Government,United States of America,Amarilla,727.0,260,350,254450,239183.0,189020.0,50163.0,2013-10-01
Government,France,Amarilla,1403.0,260,7,9821,9231.74,7015.0,2216.74,2013-10-01
Government,France,Montana,2076.0,260,350,726600,683004.0,539760.0,143244.0,2013-10-01
Government,France,Paseo,1757.0,5,20,35140,33031.6,17570.0,15461.599999999999,2013-10-01
Midmarket,United States of America,Paseo,2198.0,10,15,32970,30991.8,21980.0,9011.8,2014-08-01
Midmarket,Germany,Paseo,1743.0,10,15,26145,24576.3,17430.0,7146.299999999999,2014-08-01
Midmarket,United States of America,Paseo,1153.0,10,15,17295,16257.3,11530.0,4727.299999999999,2014-10-01
Government,France,Velo,1757.0,10,20,35140,33031.6,17570.0,15461.599999999999,2013-10-01
Government,Germany,Velo,1001.0,120,20,20020,18818.8,10010.0,8808.8,2014-08-01
Government,Mexico,VTT,1333.0,120,7,9331,8771.14,6665.0,2106.1399999999994,2014-11-01
Midmarket,United States of America,Carretera,1153.0,250,15,17295,16257.3,11530.0,4727.299999999999,2014-10-01
Channel Partners,Mexico,Carretera,727.0,3,12,8724,8113.32,2181.0,5932.32,2014-02-01
Channel Partners,Canada,Carretera,1884.0,3,12,22608,21025.44,5652.0,15373.439999999999,2014-08-01
Government,Mexico,Montana,1834.0,3,20,36680,34112.4,18340.0,15772.400000000001,2013-09-01
Channel Partners,Mexico,Montana,2340.0,5,12,28080,26114.4,7020.0,19094.4,2014-01-01
Channel Partners,France,Paseo,2342.0,5,12,28104,26136.72,7026.0,19110.72,2014-11-01
Government,France,Velo,1031.0,10,7,7217,6711.81,5155.0,1556.8100000000004,2013-09-01
Midmarket,Canada,Velo,1262.0,120,15,18930,17604.9,12620.0,4984.9000000000015,2014-05-01
Government,Canada,Velo,1135.0,120,7,7945,7388.85,5675.0,1713.8500000000004,2014-06-01
Government,United States of America,Velo,547.0,120,7,3829,3560.9700000000003,2735.0,825.9700000000003,2014-11-01
Government,Canada,VTT,1582.0,120,7,11074,10298.82,7910.0,2388.8199999999997,2014-12-01
Channel Partners,France,VTT,1738.5,250,12,20862,19401.66,5215.5,14186.16,2014-04-01
Channel Partners,Germany,VTT,2215.0,250,12,26580,24719.4,6645.0,18074.4,2013-09-01
Government,Canada,Amarilla,1582.0,250,7,11074,10298.82,7910.0,2388.8199999999997,2014-12-01
Government,Canada,Carretera,1135.0,260,7,7945,7388.85,5675.0,1713.8500000000004,2014-06-01
Government,United States of America,Carretera,1761.0,3,350,616350,573205.5,457860.0,115345.5,2014-03-01
Small Business,France,Carretera,448.0,3,300,134400,124992.0,112000.0,12992.0,2014-06-01
Small Business,France,Montana,2181.0,3,300,654300,608499.0,545250.0,63249.0,2014-10-01
Government,France,Montana,1976.0,5,20,39520,36753.6,19760.0,16993.6,2014-10-01
Small Business,France,Montana,2181.0,5,300,654300,608499.0,545250.0,63249.0,2014-10-01
Enterprise,Germany,Paseo,2500.0,5,125,312500,290625.0,300000.0,-9375.0,2013-11-01
Small Business,Canada,Paseo,1702.0,10,300,510600,474858.0,425500.0,49358.0,2014-05-01
Small Business,France,Paseo,448.0,10,300,134400,124992.0,112000.0,12992.0,2014-06-01
Enterprise,Germany,Paseo,3513.0,10,125,439125,408386.25,421560.0,-13173.75,2014-07-01
Midmarket,France,Paseo,2101.0,10,15,31515,29308.95,21010.0,8298.95,2014-08-01
Midmarket,United States of America,Paseo,2931.0,10,15,43965,40887.45,29310.0,11577.449999999997,2013-09-01
Government,France,Paseo,1535.0,10,20,30700,28551.0,15350.0,13201.0,2014-09-01
Small Business,Germany,Paseo,1123.0,10,300,336900,313317.0,280750.0,32567.0,2013-09-01
Small Business,Canada,Paseo,1404.0,10,300,421200,391716.0,351000.0,40716.0,2013-11-01
Channel Partners,Mexico,Paseo,2763.0,10,12,33156,30835.08,8289.0,22546.08,2013-11-01
Government,Germany,Velo,2125.0,10,7,14875,13833.75,10625.0,3208.75,2013-12-01
Small Business,France,Velo,1659.0,120,300,497700,462861.0,414750.0,48111.0,2014-07-01
Government,Mexico,Velo,609.0,120,20,12180,11327.4,6090.0,5237.4,2014-08-01
Enterprise,Germany,Velo,2087.0,120,125,260875,242613.75,250440.0,-7826.25,2014-09-01
Government,France,Velo,1976.0,120,20,39520,36753.6,19760.0,16993.6,2014-10-01
Government,United States of America,Velo,1421.0,120,20,28420,26430.6,14210.0,12220.599999999999,2013-12-01
Small Business,United States of America,Velo,1372.0,120,300,411600,382788.0,343000.0,39788.0,2014-12-01
Government,Germany,VTT,588.0,120,20,11760,10936.8,5880.0,5056.799999999999,2013-12-01
Channel Partners,Canada,VTT,3244.5,250,12,38934,36208.62,9733.5,26475.120000000003,2014-01-01
Small Business,France,VTT,959.0,250,300,287700,267561.0,239750.0,27811.0,2014-02-01
Small Business,Mexico,Amarilla,2747.0,250,300,824100,766413.0,686750.0,79663.0,2014-02-01
Enterprise,Canada,Amarilla,1645.0,260,125,205625,191231.25,197400.0,-6168.75,2014-05-01
Government,France,Amarilla,2876.0,260,350,1006600,936138.0,747760.0,188378.0,2014-09-01
