Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Small Business,United States of America,VTT,2844.0,250,300,853200.0,827604.0,711000.0,116604.0,2014-02-01
Channel Partners,Mexico,VTT,1916.0,250,12,22992.0,22302.24,5748.0,16554.24,2014-04-01
Enterprise,Germany,VTT,1570.0,250,125,196250.0,190362.5,188400.0,1962.5,2014-06-01
Small Business,Canada,VTT,1874.0,250,300,562200.0,545334.0,468500.0,76834.0,2014-08-01
Government,Mexico,VTT,1642.0,250,350,574700.0,557459.0,426920.0,130539.0,2014-08-01
Midmarket,Germany,Carretera,1945.0,250,15,29175.0,28299.75,19450.0,8849.75,2013-10-01
Government,Canada,Paseo,831.0,3,20,16620.0,16121.4,8310.0,7811.4,2014-05-01
Government,Mexico,Velo,1760.0,10,7,12320.0,11950.4,8800.0,3150.3999999999996,2013-09-01
Government,Canada,VTT,3850.5,120,20,77010.0,74699.70000000001,38505.0,36194.700000000004,2014-04-01
Channel Partners,Germany,Montana,2479.0,250,12,29748.0,28855.56,7437.0,21418.56,2014-01-01
Midmarket,Mexico,Paseo,2031.0,5,15,30465.0,29246.4,20310.0,8936.400000000001,2014-10-01
Midmarket,Mexico,Paseo,2031.0,10,15,30465.0,29246.4,20310.0,8936.400000000001,2014-10-01
Midmarket,France,Velo,2261.0,10,15,33915.0,32558.4,22610.0,9948.400000000001,2013-12-01
Government,United States of America,Carretera,736.0,120,20,14720.0,14131.2,7360.0,6771.200000000001,2013-09-01
Government,Canada,Carretera,2851.0,3,7,19957.0,19158.72,14255.0,4903.720000000001,2013-10-01
Small Business,Germany,Carretera,2021.0,3,300,606300.0,582048.0,505250.0,76798.0,2014-10-01
Government,United States of America,Montana,274.0,3,350,95900.0,92064.0,71240.0,20824.0,2014-12-01
Midmarket,Canada,Montana,1967.0,5,15,29505.0,28324.8,19670.0,8654.8,2014-03-01
Small Business,Germany,Montana,1859.0,5,300,557700.0,535392.0,464750.0,70642.0,2014-08-01
Government,Canada,Montana,2851.0,5,7,19957.0,19158.72,14255.0,4903.720000000001,2013-10-01
Small Business,Germany,Montana,2021.0,5,300,606300.0,582048.0,505250.0,76798.0,2014-10-01
Enterprise,Mexico,Paseo,1138.0,5,125,142250.0,136560.0,136560.0,0.0,2014-12-01
Government,Canada,Paseo,4251.0,10,7,29757.0,28566.72,21255.0,7311.719999999999,2014-01-01
Enterprise,Germany,Paseo,795.0,10,125,99375.0,95400.0,95400.0,0.0,2014-03-01
Small Business,Germany,Paseo,1414.5,10,300,424350.0,407376.0,353625.0,53751.0,2014-04-01
Small Business,United States of America,Paseo,2918.0,10,300,875400.0,840384.0,729500.0,110884.0,2014-05-01
Government,United States of America,Paseo,3450.0,10,350,1207500.0,1159200.0,897000.0,262200.0,2014-07-01
Enterprise,France,Paseo,2988.0,10,125,373500.0,358560.0,358560.0,0.0,2014-07-01
Midmarket,Canada,Paseo,218.0,10,15,3270.0,3139.2,2180.0,959.1999999999998,2014-09-01
Government,Canada,Paseo,2074.0,10,20,41480.0,39820.8,20740.0,19080.800000000003,2014-09-01
Government,United States of America,Paseo,1056.0,10,20,21120.0,20275.2,10560.0,9715.2,2014-09-01
Midmarket,United States of America,Paseo,671.0,10,15,10065.0,9662.4,6710.0,2952.3999999999996,2013-10-01
Midmarket,Mexico,Paseo,1514.0,10,15,22710.0,21801.6,15140.0,6661.5999999999985,2013-10-01
Midmarket,United States of America,Velo,790.0,120,15,11850.0,10665.0,7900.0,2765.0,2014-05-01
Government,France,Velo,639.0,120,350,223650.0,201285.0,166140.0,35145.0,2014-07-01
Enterprise,United States of America,Velo,1596.0,120,125,199500.0,179550.0,191520.0,-11970.0,2014-09-01
Small Business,United States of America,Velo,2294.0,120,300,688200.0,619380.0,573500.0,45880.0,2013-10-01
Government,Germany,Velo,241.0,120,20,4820.0,4338.0,2410.0,1928.0,2014-10-01
Government,Germany,Velo,2665.0,120,7,18655.0,16789.5,13325.0,3464.5,2014-11-01
Enterprise,Canada,Velo,1916.0,120,125,239500.0,215550.0,229920.0,-14370.0,2013-12-01
Small Business,France,VTT,853.0,120,300,255900.0,230310.0,213250.0,17060.0,2014-12-01
Enterprise,Mexico,VTT,341.0,250,125,42625.0,38362.5,40920.0,-2557.5,2014-05-01
Midmarket,Mexico,VTT,641.0,250,15,9615.0,8653.5,6410.0,2243.5,2014-07-01
Government,United States of America,VTT,2807.0,250,350,982450.0,884205.0,729820.0,154385.0,2014-08-01
Small Business,Mexico,VTT,432.0,250,300,129600.0,116640.0,108000.0,8640.0,2014-09-01
Small Business,United States of America,VTT,2294.0,250,300,688200.0,619380.0,573500.0,45880.0,2013-10-01
Midmarket,France,VTT,2167.0,250,15,32505.0,29254.5,21670.0,7584.5,2013-10-01
Enterprise,Canada,VTT,2529.0,250,125,316125.0,284512.5,303480.0,-18967.5,2014-11-01
Government,Germany,Amarilla,1870.0,250,350,654500.0,589050.0,486200.0,102850.0,2013-12-01
Enterprise,United States of America,Amarilla,579.0,260,125,72375.0,65137.5,69480.0,-4342.5,2014-01-01
Government,Canada,Amarilla,2240.0,260,350,784000.0,705600.0,582400.0,123200.0,2014-02-01
Small Business,United States of America,Amarilla,2993.0,260,300,897900.0,808110.0,748250.0,59860.0,2014-03-01
Channel Partners,Canada,Amarilla,3520.5,260,12,42246.0,38021.399999999994,10561.5,27459.899999999998,2014-04-01
Government,Mexico,Amarilla,2039.0,260,20,40780.0,36702.0,20390.0,16312.0,2014-05-01
Channel Partners,Germany,Amarilla,2574.0,260,12,30888.0,27799.2,7722.0,20077.2,2014-08-01
Government,Canada,Amarilla,707.0,260,350,247450.0,222705.0,183820.0,38885.0,2014-09-01
Midmarket,France,Amarilla,2072.0,260,15,31080.0,27972.0,20720.0,7252.0,2014-12-01
Small Business,France,Carretera,853.0,260,300,255900.0,230310.0,213250.0,17060.0,2014-12-01
Channel Partners,France,Paseo,1198.0,3,12,14376.0,12794.64,3594.0,9200.64,2013-10-01
Government,France,Paseo,2532.0,10,7,17724.0,15774.36,12660.0,3114.3599999999997,2014-04-01
Channel Partners,France,Velo,1198.0,10,12,14376.0,12794.64,3594.0,9200.64,2013-10-01
Midmarket,Canada,Velo,384.0,120,15,5760.0,5126.4,3840.0,1286.3999999999999,2014-01-01
Channel Partners,Germany,VTT,472.0,120,12,5664.0,5040.96,1416.0,3624.96,2014-10-01
Government,United States of America,VTT,1579.0,250,7,11053.0,9837.17,7895.0,1942.17,2014-03-01
Channel Partners,Mexico,Amarilla,1005.0,250,12,12060.0,10733.4,3015.0,7718.4,2013-09-01
Midmarket,United States of America,Amarilla,3199.5,260,15,47992.5,42713.325,31995.0,10718.324999999999,2014-07-01
Small Business,France,Amarilla,2475.0,260,300,742500.0,631125.0,618750.0,12375.0,2014-03-01
Government,Mexico,Paseo,2535.0,10,7,17745.0,15083.25,12675.0,2408.25,2014-04-01
Small Business,Germany,VTT,2536.0,120,300,760800.0,654288.0,634000.0,20288.0,2013-11-01
Small Business,United States of America,VTT,2541.0,250,300,762300.0,655578.0,635250.0,20328.0,2014-08-01
Midmarket,Canada,Paseo,2559.0,10,15,38385.0,32627.25,25590.0,7037.25,2014-08-01
Small Business,United States of America,Velo,2574.0,120,300,772200.0,656370.0,643500.0,12870.0,2013-11-01
Government,Mexico,Carretera,2579.0,3,20,51580.0,44358.8,25790.0,18568.800000000003,2014-04-01
Small Business,Mexico,Velo,2605.0,120,300,781500.0,679905.0,651250.0,28655.0,2013-11-01
Enterprise,Germany,Carretera,2767.0,3,125,345875.0,293993.75,332040.0,-38046.25,2014-08-01
