Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Enterprise,Canada,Carretera,742.5,3,125,92812.5,90956.25,89100.0,1856.25,2014-04-01
Channel Partners,Canada,Carretera,1295.0,3,12,15540.0,15229.2,3885.0,11344.2,2014-10-01
Small Business,Germany,Carretera,214.0,3,300,64200.0,62916.0,53500.0,9416.0,2013-10-01
Government,France,Carretera,2145.0,3,7,15015.0,14714.7,10725.0,3989.7000000000007,2013-11-01
Government,Canada,Montana,2852.0,3,350,998200.0,978236.0,741520.0,236716.0,2014-12-01
Channel Partners,United States of America,Montana,1142.0,5,12,13704.0,13429.92,3426.0,10003.92,2014-06-01
Government,United States of America,Montana,1566.0,5,20,31320.0,30693.6,15660.0,15033.599999999999,2014-10-01
Channel Partners,Mexico,Montana,690.0,5,12,8280.0,8114.4,2070.0,6044.4,2014-11-01
Enterprise,Mexico,Paseo,1660.0,5,125,207500.0,203350.0,199200.0,4150.0,2013-11-01
Midmarket,Canada,Paseo,2363.0,10,15,35445.0,34736.1,23630.0,11106.099999999999,2014-02-01
Small Business,France,Paseo,918.0,10,300,275400.0,269892.0,229500.0,40392.0,2014-05-01
Small Business,Germany,Paseo,1728.0,10,300,518400.0,508032.0,432000.0,76032.0,2014-05-01
Channel Partners,United States of America,Paseo,1142.0,10,12,13704.0,13429.92,3426.0,10003.92,2014-06-01
Enterprise,Mexico,Paseo,662.0,10,125,82750.0,81095.0,79440.0,1655.0,2014-06-01
Channel Partners,Canada,Paseo,1295.0,10,12,15540.0,15229.2,3885.0,11344.2,2014-10-01
Enterprise,Germany,Paseo,809.0,10,125,101125.0,99102.5,97080.0,2022.5,2013-10-01
Enterprise,Mexico,Paseo,2145.0,10,125,268125.0,262762.5,257400.0,5362.5,2013-10-01
Channel Partners,France,Paseo,1785.0,10,12,21420.0,20991.6,5355.0,15636.599999999999,2013-11-01
Small Business,Canada,Paseo,1916.0,10,300,574800.0,563304.0,479000.0,84304.0,2014-12-01
Government,Canada,Paseo,2852.0,10,350,998200.0,978236.0,741520.0,236716.0,2014-12-01
Enterprise,Canada,Paseo,2729.0,10,125,341125.0,334302.5,327480.0,6822.5,2014-12-01
Midmarket,United States of America,Paseo,1925.0,10,15,28875.0,28297.5,19250.0,9047.5,2013-12-01
Government,United States of America,Paseo,2013.0,10,7,14091.0,13809.18,10065.0,3744.1800000000003,2013-12-01
Channel Partners,France,Paseo,1055.0,10,12,12660.0,12406.8,3165.0,9241.8,2014-12-01
Channel Partners,Mexico,Velo,1084.0,10,12,13008.0,12747.84,3252.0,9495.84,2014-12-01
Government,United States of America,Velo,1566.0,120,20,31320.0,30693.6,15660.0,15033.599999999999,2014-10-01
Government,Germany,Velo,2966.0,120,350,1038100.0,1017338.0,771160.0,246178.0,2013-10-01
Government,Germany,Velo,2877.0,120,350,1006950.0,986811.0,748020.0,238791.0,2014-10-01
Enterprise,Germany,Velo,809.0,120,125,101125.0,99102.5,97080.0,2022.5,2013-10-01
Enterprise,Mexico,Velo,2145.0,120,125,268125.0,262762.5,257400.0,5362.5,2013-10-01
Channel Partners,France,Velo,1055.0,120,12,12660.0,12406.8,3165.0,9241.8,2014-12-01
Government,Mexico,Velo,544.0,120,20,10880.0,10662.4,5440.0,5222.4,2013-12-01
Channel Partners,Mexico,VTT,1084.0,120,12,13008.0,12747.84,3252.0,9495.84,2014-12-01
Enterprise,Mexico,VTT,662.0,250,125,82750.0,81095.0,79440.0,1655.0,2014-06-01
