Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Channel Partners,Germany,Carretera,472.0,260,12,5664.0,5040.96,1416.0,3624.96,2014-10-01
Channel Partners,Canada,Carretera,1937.0,3,12,23244.0,20687.16,5811.0,14876.16,2014-02-01
Government,Germany,Carretera,792.0,3,350,277200.0,246708.0,205920.0,40788.0,2014-03-01
Small Business,Germany,Carretera,2811.0,3,300,843300.0,750537.0,702750.0,47787.0,2014-07-01
Enterprise,France,Carretera,2441.0,3,125,305125.0,271561.25,292920.0,-21358.75,2014-10-01
Midmarket,Canada,Carretera,1560.0,3,15,23400.0,20826.0,15600.0,5226.0,2013-11-01
Government,Mexico,Montana,2706.0,3,7,18942.0,16858.38,13530.0,3328.380000000001,2013-11-01
Government,Germany,Montana,766.0,5,350,268100.0,238609.0,199160.0,39449.0,2014-01-01
Government,Germany,Montana,2992.0,5,20,59840.0,53257.6,29920.0,23337.6,2013-10-01
Midmarket,Mexico,Paseo,2157.0,5,15,32355.0,28795.95,21570.0,7225.950000000001,2014-12-01
Small Business,Canada,Paseo,873.0,10,300,261900.0,233091.0,218250.0,14841.0,2014-01-01
Government,Mexico,Paseo,1122.0,10,20,22440.0,19971.6,11220.0,8751.599999999999,2014-03-01
Government,Canada,Paseo,2104.5,10,350,736575.0,655551.75,547170.0,108381.75,2014-07-01
Channel Partners,Canada,Paseo,4026.0,10,12,48312.0,42997.68,12078.0,30919.68,2014-07-01
Channel Partners,France,Paseo,2425.5,10,12,29106.0,25904.340000000004,7276.5,18627.840000000004,2014-07-01
Government,Canada,Paseo,2394.0,10,20,47880.0,42613.2,23940.0,18673.199999999997,2014-08-01
Midmarket,Mexico,Paseo,1984.0,10,15,29760.0,26486.4,19840.0,6646.4000000000015,2014-08-01
Enterprise,France,Paseo,2441.0,10,125,305125.0,271561.25,292920.0,-21358.75,2014-10-01
Government,Germany,Paseo,2992.0,10,20,59840.0,53257.6,29920.0,23337.6,2013-10-01
Small Business,Canada,Velo,1366.0,10,300,409800.0,364722.0,341500.0,23222.0,2014-11-01
Government,France,Velo,2805.0,120,20,56100.0,49929.0,28050.0,21879.0,2013-09-01
Midmarket,Mexico,Velo,655.0,120,15,9825.0,8744.25,6550.0,2194.25,2013-09-01
Government,Mexico,Velo,344.0,120,350,120400.0,107156.0,89440.0,17716.0,2013-10-01
Government,Canada,VTT,1808.0,120,7,12656.0,11263.84,9040.0,2223.84,2014-11-01
Channel Partners,France,VTT,1734.0,250,12,20808.0,18519.12,5202.0,13317.119999999999,2014-01-01
Enterprise,Mexico,VTT,554.0,250,125,69250.0,61632.5,66480.0,-4847.5,2014-01-01
Government,Canada,Amarilla,2935.0,250,20,58700.0,52243.0,29350.0,22893.0,2013-11-01
Enterprise,Germany,Amarilla,3165.0,260,125,395625.0,352106.25,379800.0,-27693.75,2014-01-01
Government,Mexico,Amarilla,2629.0,260,20,52580.0,46796.2,26290.0,20506.199999999997,2014-01-01
Enterprise,France,Amarilla,1433.0,260,125,179125.0,159421.25,171960.0,-12538.75,2014-05-01
Enterprise,Mexico,Amarilla,947.0,260,125,118375.0,105353.75,113640.0,-8286.25,2013-09-01
Government,Mexico,Amarilla,344.0,260,350,120400.0,107156.0,89440.0,17716.0,2013-10-01
Midmarket,Mexico,Paseo,2157.0,260,15,32355.0,28795.95,21570.0,7225.950000000001,2014-12-01
Government,United States of America,Carretera,380.0,10,7,2660.0,2367.4,1900.0,467.4000000000001,2013-09-01
Government,Mexico,Carretera,886.0,3,350,310100.0,272888.0,230360.0,42528.0,2014-06-01
Enterprise,Canada,Carretera,2416.0,3,125,302000.0,265760.0,289920.0,-24160.0,2013-09-01
Enterprise,Mexico,Carretera,2156.0,3,125,269500.0,237160.0,258720.0,-21560.0,2014-10-01
Midmarket,Canada,Montana,2689.0,3,15,40335.0,35494.8,26890.0,8604.800000000003,2014-11-01
Midmarket,United States of America,Montana,677.0,5,15,10155.0,8936.4,6770.0,2166.3999999999996,2014-03-01
Small Business,France,Montana,1773.0,5,300,531900.0,468072.0,443250.0,24822.0,2014-04-01
Government,Mexico,Montana,2420.0,5,7,16940.0,14907.2,12100.0,2807.2000000000007,2014-09-01
Government,Canada,Montana,2734.0,5,7,19138.0,16841.44,13670.0,3171.4399999999987,2014-10-01
Government,Mexico,Montana,1715.0,5,20,34300.0,30184.0,17150.0,13034.0,2013-10-01
Small Business,France,Paseo,1186.0,5,300,355800.0,313104.0,296500.0,16604.0,2013-12-01
Small Business,United States of America,Paseo,3495.0,10,300,1048500.0,922680.0,873750.0,48930.0,2014-01-01
Government,Mexico,Paseo,886.0,10,350,310100.0,272888.0,230360.0,42528.0,2014-06-01
Enterprise,Mexico,Paseo,2156.0,10,125,269500.0,237160.0,258720.0,-21560.0,2014-10-01
Government,Mexico,Paseo,905.0,10,20,18100.0,15928.0,9050.0,6878.0,2014-10-01
Government,Mexico,Paseo,1715.0,10,20,34300.0,30184.0,17150.0,13034.0,2013-10-01
Government,France,Paseo,1594.0,10,350,557900.0,490952.0,414440.0,76512.0,2014-11-01
Small Business,Germany,Paseo,1359.0,10,300,407700.0,358776.0,339750.0,19026.0,2014-11-01
Small Business,Mexico,Paseo,2150.0,10,300,645000.0,567600.0,537500.0,30100.0,2014-11-01
Government,Mexico,Paseo,1197.0,10,350,418950.0,368676.0,311220.0,57456.0,2014-11-01
Midmarket,Mexico,Paseo,380.0,10,15,5700.0,5016.0,3800.0,1216.0,2013-12-01
Government,Mexico,Velo,1233.0,10,20,24660.0,21700.8,12330.0,9370.8,2014-12-01
Government,Mexico,Velo,1395.0,120,350,488250.0,429660.0,362700.0,66960.0,2014-07-01
