Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Government,Canada,Carretera,1618.5,3,20,32370.0,32370.0,16185,16185.0,2014-01-01
Government,Germany,Carretera,1321.0,3,20,26420.0,26420.0,13210,13210.0,2014-01-01
Midmarket,France,Carretera,2178.0,3,15,32670.0,32670.0,21780,10890.0,2014-06-01
Midmarket,Germany,Carretera,888.0,3,15,13320.0,13320.0,8880,4440.0,2014-06-01
Midmarket,Mexico,Carretera,2470.0,3,15,37050.0,37050.0,24700,12350.0,2014-06-01
Government,Germany,Montana,1513.0,3,350,529550.0,529550.0,393380,136170.0,2014-12-01
Midmarket,Germany,Montana,921.0,5,15,13815.0,13815.0,9210,4605.0,2014-03-01
Channel Partners,Canada,Montana,2518.0,5,12,30216.0,30216.0,7554,22662.0,2014-06-01
Government,France,Montana,1899.0,5,20,37980.0,37980.0,18990,18990.0,2014-06-01
Channel Partners,Germany,Montana,1545.0,5,12,18540.0,18540.0,4635,13905.0,2014-06-01
Midmarket,Mexico,Montana,2470.0,5,15,37050.0,37050.0,24700,12350.0,2014-06-01
Enterprise,Canada,Montana,2665.5,5,125,333187.5,333187.5,319860,13327.5,2014-07-01
Small Business,Mexico,Montana,958.0,5,300,287400.0,287400.0,239500,47900.0,2014-08-01
Government,Germany,Montana,2146.0,5,7,15022.0,15022.0,10730,4292.0,2014-09-01
Enterprise,Canada,Montana,345.0,5,125,43125.0,43125.0,41400,1725.0,2013-10-01
Midmarket,United States of America,Paseo,615.0,5,15,9225.0,9225.0,6150,3075.0,2014-12-01
Government,Canada,Paseo,292.0,10,20,5840.0,5840.0,2920,2920.0,2014-02-01
Midmarket,Mexico,Paseo,974.0,10,15,14610.0,14610.0,9740,4870.0,2014-02-01
Channel Partners,Canada,Paseo,2518.0,10,12,30216.0,30216.0,7554,22662.0,2014-06-01
Government,Germany,Paseo,1006.0,10,350,352100.0,352100.0,261560,90540.0,2014-06-01
Channel Partners,Germany,Paseo,367.0,10,12,4404.0,4404.0,1101,3303.0,2014-07-01
Government,Mexico,Paseo,883.0,10,7,6181.0,6181.0,4415,1766.0,2014-08-01
Midmarket,France,Paseo,549.0,10,15,8235.0,8235.0,5490,2745.0,2013-09-01
Small Business,Mexico,Paseo,788.0,10,300,236400.0,236400.0,197000,39400.0,2013-09-01
Midmarket,Mexico,Paseo,2472.0,10,15,37080.0,37080.0,24720,12360.0,2014-09-01
Government,United States of America,Paseo,1143.0,10,7,8001.0,8001.0,5715,2286.0,2014-10-01
Government,Canada,Paseo,1725.0,10,350,603750.0,603750.0,448500,155250.0,2013-11-01
Channel Partners,United States of America,Paseo,912.0,10,12,10944.0,10944.0,2736,8208.0,2013-11-01
Midmarket,Canada,Paseo,2152.0,10,15,32280.0,32280.0,21520,10760.0,2013-12-01
Government,Canada,Paseo,1817.0,10,20,36340.0,36340.0,18170,18170.0,2014-12-01
Government,Germany,Velo,1513.0,10,350,529550.0,529550.0,393380,136170.0,2014-12-01
Government,Mexico,Velo,1493.0,120,7,10451.0,10451.0,7465,2986.0,2014-01-01
Enterprise,France,Velo,1804.0,120,125,225500.0,225500.0,216480,9020.0,2014-02-01
Channel Partners,Germany,Velo,2161.0,120,12,25932.0,25932.0,6483,19449.0,2014-03-01
Government,Germany,Velo,1006.0,120,350,352100.0,352100.0,261560,90540.0,2014-06-01
Channel Partners,Germany,Velo,1545.0,120,12,18540.0,18540.0,4635,13905.0,2014-06-01
Enterprise,United States of America,Velo,2821.0,120,125,352625.0,352625.0,338520,14105.0,2014-08-01
Enterprise,Canada,VTT,345.0,120,125,43125.0,43125.0,41400,1725.0,2013-10-01
Small Business,Canada,VTT,2001.0,250,300,600300.0,600300.0,500250,100050.0,2014-02-01
Channel Partners,Germany,VTT,2838.0,250,12,34056.0,34056.0,8514,25542.0,2014-04-01
Midmarket,France,VTT,2178.0,250,15,32670.0,32670.0,21780,10890.0,2014-06-01
Midmarket,Germany,VTT,888.0,250,15,13320.0,13320.0,8880,4440.0,2014-06-01
Government,France,VTT,1527.0,250,350,534450.0,534450.0,397020,137430.0,2013-09-01
Small Business,France,VTT,2151.0,250,300,645300.0,645300.0,537750,107550.0,2014-09-01
Government,Canada,Amarilla,1817.0,250,20,36340.0,36340.0,18170,18170.0,2014-12-01
Government,France,Amarilla,2750.0,260,350,962500.0,962500.0,715000,247500.0,2014-02-01
Channel Partners,United States of America,Amarilla,1953.0,260,12,23436.0,23436.0,5859,17577.0,2014-04-01
Enterprise,Germany,Amarilla,4219.5,260,125,527437.5,527437.5,506340,21097.5,2014-04-01
Government,France,Amarilla,1899.0,260,20,37980.0,37980.0,18990,18990.0,2014-06-01
Government,Germany,Amarilla,1686.0,260,7,11802.0,11802.0,8430,3372.0,2014-07-01
Channel Partners,United States of America,Amarilla,2141.0,260,12,25692.0,25692.0,6423,19269.0,2014-08-01
Government,United States of America,Amarilla,1143.0,260,7,8001.0,8001.0,5715,2286.0,2014-10-01
Midmarket,United States of America,Paseo,615.0,260,15,9225.0,9225.0,6150,3075.0,2014-12-01
Government,France,Paseo,3945.0,10,7,27615.0,27338.850000000002,19725,7613.850000000002,2014-01-01
Midmarket,France,Paseo,2296.0,10,15,34440.0,34095.6,22960,11135.599999999999,2014-02-01
Government,France,Velo,1030.0,10,7,7210.0,7137.9,5150,1987.8999999999996,2014-05-01
Government,France,VTT,639.0,120,7,4473.0,4428.27,3195,1233.2700000000004,2014-11-01
Government,Canada,Carretera,1326.0,250,7,9282.0,9189.18,6630,2559.1800000000003,2014-03-01
Channel Partners,United States of America,Carretera,1858.0,3,12,22296.0,22073.04,5574,16499.04,2014-02-01
Government,Mexico,Carretera,1210.0,3,350,423500.0,419265.0,314600,104665.0,2014-03-01
