Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Government,France,Montana,2155.0,3,350,754250.0,746707.5,560300.0,186407.5,2014-12-01
Midmarket,Mexico,Montana,2214.0,5,15,33210.0,32877.9,22140.0,10737.900000000001,2014-03-01
Small Business,United States of America,Montana,2301.0,5,300,690300.0,683397.0,575250.0,108147.0,2014-04-01
Government,France,Montana,1375.5,5,20,27510.0,27234.899999999998,13755.0,13479.899999999998,2014-07-01
Government,Canada,Montana,1830.0,5,7,12810.0,12681.9,9150.0,3531.8999999999996,2014-08-01
Small Business,United States of America,Montana,2498.0,5,300,749400.0,741906.0,624500.0,117406.0,2013-09-01
Enterprise,United States of America,Paseo,663.0,5,125,82875.0,82046.25,79560.0,2486.25,2013-10-01
Midmarket,United States of America,Paseo,1514.0,10,15,22710.0,22482.9,15140.0,7342.9000000000015,2014-02-01
Government,United States of America,Paseo,4492.5,10,7,31447.5,31133.024999999998,22462.5,8670.524999999998,2014-04-01
Enterprise,United States of America,Paseo,727.0,10,125,90875.0,89966.25,87240.0,2726.25,2014-06-01
Enterprise,France,Paseo,787.0,10,125,98375.0,97391.25,94440.0,2951.25,2014-06-01
Enterprise,Mexico,Paseo,1823.0,10,125,227875.0,225596.25,218760.0,6836.25,2014-07-01
Midmarket,Germany,Paseo,747.0,10,15,11205.0,11092.95,7470.0,3622.9500000000007,2014-09-01
Channel Partners,Germany,Paseo,766.0,10,12,9192.0,9100.08,2298.0,6802.08,2013-10-01
Small Business,United States of America,Paseo,2905.0,10,300,871500.0,862785.0,726250.0,136535.0,2014-11-01
Government,France,Velo,2155.0,10,350,754250.0,746707.5,560300.0,186407.5,2014-12-01
Government,France,Velo,3864.0,120,20,77280.0,76507.20000000001,38640.0,37867.200000000004,2014-04-01
Government,Mexico,Velo,362.0,120,7,2534.0,2508.66,1810.0,698.6599999999999,2014-05-01
Enterprise,Canada,Velo,923.0,120,125,115375.0,114221.25,110760.0,3461.25,2014-08-01
Enterprise,United States of America,Velo,663.0,120,125,82875.0,82046.25,79560.0,2486.25,2013-10-01
Government,Canada,VTT,2092.0,120,7,14644.0,14497.56,10460.0,4037.5599999999995,2013-11-01
Government,Germany,VTT,263.0,250,7,1841.0,1822.59,1315.0,507.5899999999999,2014-03-01
Government,Canada,VTT,943.5,250,350,330225.0,326922.75,245310.0,81612.75,2014-04-01
Enterprise,United States of America,VTT,727.0,250,125,90875.0,89966.25,87240.0,2726.25,2014-06-01
Enterprise,France,VTT,787.0,250,125,98375.0,97391.25,94440.0,2951.25,2014-06-01
Small Business,Germany,VTT,986.0,250,300,295800.0,292842.0,246500.0,46342.0,2014-09-01
Small Business,Mexico,VTT,494.0,250,300,148200.0,146718.0,123500.0,23218.0,2013-10-01
Government,Mexico,VTT,1397.0,250,350,488950.0,484060.5,363220.0,120840.5,2014-10-01
Enterprise,France,Amarilla,1744.0,250,125,218000.0,215820.0,209280.0,6540.0,2014-11-01
Channel Partners,United States of America,Amarilla,1989.0,260,12,23868.0,23629.32,5967.0,17662.32,2013-09-01
Midmarket,France,Carretera,321.0,260,15,4815.0,4766.85,3210.0,1556.8500000000004,2013-11-01
Small Business,Canada,Montana,1283.0,5,300,384900.0,354108.0,320750.0,33358.0,2013-09-01
Midmarket,Germany,Paseo,711.0,5,15,10665.0,9811.8,7110.0,2701.7999999999993,2014-12-01
Enterprise,Mexico,Paseo,1114.0,10,125,139250.0,128110.0,133680.0,-5570.0,2014-03-01
Government,Germany,Paseo,1259.0,10,7,8813.0,8107.96,6295.0,1812.96,2014-04-01
Government,Germany,Paseo,1095.0,10,7,7665.0,7051.8,5475.0,1576.8000000000002,2014-05-01
Government,Germany,Paseo,1366.0,10,20,27320.0,25134.4,13660.0,11474.400000000001,2014-06-01
Small Business,Mexico,Paseo,2460.0,10,300,738000.0,678960.0,615000.0,63960.0,2014-06-01
Government,United States of America,Paseo,678.0,10,7,4746.0,4366.32,3390.0,976.3199999999997,2014-08-01
Government,Germany,Paseo,1598.0,10,7,11186.0,10291.12,7990.0,2301.120000000001,2014-08-01
Government,Germany,Paseo,2409.0,10,7,16863.0,15513.96,12045.0,3468.959999999999,2013-09-01
Government,Germany,Paseo,1934.0,10,20,38680.0,35585.6,19340.0,16245.599999999999,2014-09-01
Government,Mexico,Paseo,2993.0,10,20,59860.0,55071.2,29930.0,25141.199999999997,2014-09-01
Government,Germany,Paseo,2146.0,10,350,751100.0,691012.0,557960.0,133052.0,2013-11-01
Government,Mexico,Paseo,1946.0,10,7,13622.0,12532.24,9730.0,2802.24,2013-12-01
Government,Mexico,Velo,1362.0,10,350,476700.0,438564.0,354120.0,84444.0,2014-12-01
Channel Partners,Canada,Velo,598.0,120,12,7176.0,6601.92,1794.0,4807.92,2014-03-01
Government,United States of America,Velo,2907.0,120,7,20349.0,18721.08,14535.0,4186.080000000002,2014-06-01
Government,Germany,Velo,2338.0,120,7,16366.0,15056.72,11690.0,3366.7199999999993,2014-06-01
Small Business,France,Velo,386.0,120,300,115800.0,106536.0,96500.0,10036.0,2013-11-01
Small Business,Mexico,VTT,635.0,120,300,190500.0,175260.0,158750.0,16510.0,2014-12-01
Government,France,VTT,574.5,250,350,201075.0,184989.0,149370.0,35619.0,2014-04-01
Government,Germany,VTT,2338.0,250,7,16366.0,15056.72,11690.0,3366.7199999999993,2014-06-01
Government,France,VTT,381.0,250,350,133350.0,122682.0,99060.0,23622.0,2014-08-01
Government,Germany,VTT,422.0,250,350,147700.0,135884.0,109720.0,26164.0,2014-08-01
Small Business,Canada,VTT,2134.0,250,300,640200.0,588984.0,533500.0,55484.0,2014-09-01
Small Business,United States of America,Amarilla,808.0,250,300,242400.0,223008.0,202000.0,21008.0,2013-12-01
Government,Canada,Amarilla,708.0,260,20,14160.0,13027.2,7080.0,5947.200000000001,2014-06-01
Government,United States of America,Amarilla,2907.0,260,7,20349.0,18721.08,14535.0,4186.080000000002,2014-06-01
Government,Germany,Amarilla,1366.0,260,20,27320.0,25134.4,13660.0,11474.400000000001,2014-06-01
Small Business,Mexico,Amarilla,2460.0,260,300,738000.0,678960.0,615000.0,63960.0,2014-06-01
Government,Germany,Amarilla,1520.0,260,20,30400.0,27968.0,15200.0,12768.0,2014-11-01
Midmarket,Germany,Amarilla,711.0,260,15,10665.0,9811.8,7110.0,2701.7999999999993,2014-12-01
Channel Partners,Mexico,Amarilla,1375.0,260,12,16500.0,15180.0,4125.0,11055.0,2013-12-01
Enterprise,Mexico,Montana,2821.0,3,125,352625.0,303257.5,338520.0,-35262.5,2013-12-01
Midmarket,France,Velo,2826.0,120,15,42390.0,36031.5,28260.0,7771.5,2014-05-01
Enterprise,United States of America,Amarilla,2844.0,260,125,355500.0,305730.0,341280.0,-35550.0,2014-05-01
Government,Mexico,Paseo,2851.0,10,350,997850.0,848172.5,741260.0,106912.5,2014-05-01
Government,Mexico,VTT,2903.0,250,7,20321.0,17476.06,14515.0,2961.0600000000013,2014-03-01
Channel Partners,United States of America,Paseo,2914.0,10,12,34968.0,30072.48,8742.0,21330.48,2014-10-01
Channel Partners,United States of America,Amarilla,2914.0,260,12,34968.0,30072.48,8742.0,21330.48,2014-10-01
Enterprise,Canada,VTT,2954.0,250,125,369250.0,313862.5,354480.0,-40617.5,2013-11-01
Government,United States of America,Carretera,2996.0,3,7,20972.0,18035.92,14980.0,3055.9199999999983,2013-10-01
Government,United States of America,Paseo,2996.0,5,7,20972.0,18035.92,14980.0,3055.9199999999983,2013-10-01
