Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Small Business,Mexico,VTT,635.0,260,300,190500.0,175260.0,158750,16510.0,2014-12-01
Government,United States of America,Carretera,436.5,250,20,8730.0,8031.599999999999,4365,3666.5999999999995,2014-07-01
Small Business,Canada,Carretera,1094.0,3,300,328200.0,298662.0,273500,25162.0,2014-06-01
Channel Partners,Mexico,Montana,367.0,3,12,4404.0,4007.64,1101,2906.64,2013-10-01
Small Business,Canada,Montana,3802.5,5,300,1140750.0,1038082.5,950625,87457.5,2014-04-01
Government,France,Montana,1666.0,5,350,583100.0,530621.0,433160,97461.0,2014-05-01
Small Business,France,Montana,322.0,5,300,96600.0,87906.0,80500,7406.0,2013-09-01
Channel Partners,Canada,Montana,2321.0,5,12,27852.0,25345.32,6963,18382.32,2014-11-01
Enterprise,France,Montana,1857.0,5,125,232125.0,211233.75,222840,-11606.25,2013-11-01
Government,Canada,Montana,1611.0,5,7,11277.0,10262.07,8055,2207.0699999999997,2013-12-01
Enterprise,United States of America,Montana,2797.0,5,125,349625.0,318158.75,335640,-17481.25,2014-12-01
Small Business,Germany,Paseo,334.0,5,300,100200.0,91182.0,83500,7682.0,2013-12-01
Small Business,Mexico,Paseo,2565.0,10,300,769500.0,700245.0,641250,58995.0,2014-01-01
Government,Mexico,Paseo,2417.0,10,350,845950.0,769814.5,628420,141394.5,2014-01-01
Midmarket,United States of America,Paseo,3675.0,10,15,55125.0,50163.75,36750,13413.75,2014-04-01
Small Business,Canada,Paseo,1094.0,10,300,328200.0,298662.0,273500,25162.0,2014-06-01
Midmarket,France,Paseo,1227.0,10,15,18405.0,16748.55,12270,4478.549999999999,2014-10-01
Channel Partners,Mexico,Paseo,367.0,10,12,4404.0,4007.64,1101,2906.64,2013-10-01
Small Business,France,Paseo,1324.0,10,300,397200.0,361452.0,331000,30452.0,2014-11-01
Channel Partners,Germany,Paseo,1775.0,10,12,21300.0,19383.0,5325,14058.0,2013-11-01
Enterprise,United States of America,Velo,2797.0,10,125,349625.0,318158.75,335640,-17481.25,2014-12-01
Midmarket,Mexico,Velo,245.0,120,15,3675.0,3344.25,2450,894.25,2014-05-01
Small Business,Canada,Velo,3793.5,120,300,1138050.0,1035625.5,948375,87250.5,2014-07-01
Government,Germany,Velo,1307.0,120,350,457450.0,416279.5,339820,76459.5,2014-07-01
Enterprise,Canada,Velo,567.0,120,125,70875.0,64496.25,68040,-3543.75,2014-09-01
Enterprise,Mexico,Velo,2110.0,120,125,263750.0,240012.5,253200,-13187.5,2014-09-01
Government,Canada,VTT,1269.0,120,350,444150.0,404176.5,329940,74236.5,2014-10-01
Channel Partners,United States of America,VTT,1956.0,250,12,23472.0,21359.52,5868,15491.52,2014-01-01
Small Business,Germany,VTT,2659.0,250,300,797700.0,725907.0,664750,61157.0,2014-02-01
Government,United States of America,VTT,1351.5,250,350,473025.0,430452.75,351390,79062.75,2014-04-01
Channel Partners,Germany,VTT,880.0,250,12,10560.0,9609.6,2640,6969.6,2014-05-01
Small Business,United States of America,VTT,1867.0,250,300,560100.0,509691.0,466750,42941.0,2014-09-01
Channel Partners,France,VTT,2234.0,250,12,26808.0,24395.28,6702,17693.28,2013-09-01
Midmarket,France,VTT,1227.0,250,15,18405.0,16748.55,12270,4478.549999999999,2014-10-01
Enterprise,Mexico,Amarilla,877.0,250,125,109625.0,99758.75,105240,-5481.25,2014-11-01
